Building_Number,Building_Name,Building,State,A10_Cleaning,A30_Utilities_Fuel,A40_Mechanic_Oper_Maint,Grand_Total,Overall_Satisfaction,Occupancy,Building_Sq_Ft
ND0037ZZ,William L. Guy Fb/Po,ND0037ZZ-William L. Guy Fb/Po,ND,242588,166347,621513,1030448,2,137,139810
CO0533AA,Dfc Bldg 56,CO0533AA-Dfc Bldg 56,CO,404520,173808,450339,1028668,1,300,354441
OR0053ZZ,Wayne L. Morse Us Ct,OR0053ZZ-Wayne L. Morse Us Ct,OR,423250,178484,425051,1026784,5,94,237285
WA0035ZZ,William Kenzo Nakamu,WA0035ZZ-William Kenzo Nakamu,WA,462868,206629,357276,1026773,5,123,150913
NC0111AB,Terry Sanford Federa,NC0111AB-Terry Sanford Federa,NC,396019,335898,284828,1016745,3,300,324013
TX0230ZZ,Gh Mahon Fed Bldg/Co,TX0230ZZ-Gh Mahon Fed Bldg/Co,TX,256464,184500,572755,1013719,3,160,160199
CA0235ZZ,Leo J. Ryan Federal,CA0235ZZ-Leo J. Ryan Federal,CA,313710,156906,542048,1012664,4,40,227838
OH0194ZZ,John F Seiberling Fb,OH0194ZZ-John F Seiberling Fb,OH,357673,230488,418781,1006943,5,180,186137
LA0097BT,Long Federal Bldg,LA0097BT-Long Federal Bldg,LA,295846,222960,482824,1001630,5,140,149637
TX0058DA,Santa Fe Federal Bld,TX0058DA-Santa Fe Federal Bld,TX,349166,285053,356632,990851,3,400,274786
IA0121ZZ,Courthouse,IA0121ZZ-Courthouse,IA,438357,1237,550097,989691,3,152,305999
MI0501BC,Hart-Dole-Inouye Bld,MI0501BC-Hart-Dole-Inouye Bld,MI,502180,234102,250623,986904,5,699,221635
ID0025ZZ,James A Mcclure Fed,ID0025ZZ-James A Mcclure Fed,ID,432566,181685,370616,984867,3,300,250147
KS0092ZZ,Frank Carlson Fb&Ct,KS0092ZZ-Frank Carlson Fb&Ct,KS,350738,301217,329298,981253,5,395,192479
MI0137ZZ,Gerald R. Ford Build,MI0137ZZ-Gerald R. Ford Build,MI,412331,277102,290879,980312,5,150,182435
NM0061ZZ,Las Cruces Courthous,NM0061ZZ-Las Cruces Courthous,NM,261132,369997,342242,973371,4,160,183124
MI0503BC,Fed Ctr Bldg No 2,MI0503BC-Fed Ctr Bldg No 2,MI,488862,242815,241294,972971,5,494,214800
OK0063ZZ,Tulsa Federal Bldg,OK0063ZZ-Tulsa Federal Bldg,OK,140666,99456,725401,965523,4,50,116904
AK0029ZZ,Federal Building,AK0029ZZ-Federal Building,AK,257227,408335,295269,960831,4,114,100838
FL0089ZZ,Fb-Ct,FL0089ZZ-Fb-Ct,FL,326010,303269,320938,950218,1,200,168923
TX0319ZZ,Armenadriz U.S. Cour,TX0319ZZ-Armenadriz U.S. Cour,TX,280996,380831,276732,938559,1,80,210803
MO0570AG,Chas F Prevedel Fb,MO0570AG-Chas F Prevedel Fb,MO,426111,46654,460960,933725,4,108,377024
OK0101ZZ,Oklahoma City Federa,OK0101ZZ-Oklahoma City Federa,OK,319702,401286,202669,923657,4,350,167254
MD0006ZZ,Us Customhouse,MD0006ZZ-Us Customhouse,MD,332319,326228,264059,922607,4,175,135148
GA0077AC,"Juliette Gordon Low,","GA0077AC-Juliette Gordon Low,",GA,404335,289893,228348,922576,4,514,181600
FL0030ZZ,"Alto Lee Adams, Sr.","FL0030ZZ-Alto Lee Adams, Sr.",FL,249659,326421,339225,915305,1,47,123400
TN0006ZZ,Joel W.Solomon Fbct,TN0006ZZ-Joel W.Solomon Fbct,TN,388295,192360,332827,913482,5,165,119383
