Building_Number,Building_Name,Building,State,A10_Cleaning,A30_Utilities_Fuel,A40_Mechanic_Oper_Maint,Grand_Total,Overall_Satisfaction,Occupancy,Building_Sq_Ft
GA0036ZZ,J. Roy Rowland Fed.,GA0036ZZ-J. Roy Rowland Fed.,GA,57859,55654,79752,193265,4,9,23891
TX0163ZZ,Oc Fisher Fed Bldg/C,TX0163ZZ-Oc Fisher Fed Bldg/C,TX,55243,40681,91721,187645,4,12,33463
PA0064ZZ,Fb & Courthouse,PA0064ZZ-Fb & Courthouse,PA,76698,62049,45753,184500,2,23,50036
WY0004ZZ,Fob,WY0004ZZ-Fob,WY,71877,46386,64422,182685,4,55,29919
NC0095ZZ,J. J. Hayes Fb,NC0095ZZ-J. J. Hayes Fb,NC,65951,32129,84303,182383,4,19,36524
SC0076AC,Hollings Jud Ctr,SC0076AC-Hollings Jud Ctr,SC,102748,11778,66922,181447,3,10,25055
ND0002ZZ,Fb,ND0002ZZ-Fb,ND,70948,41850,62996,175794,4,66,37637
SC0004ZZ,G. Ross Anderson Jr.,SC0004ZZ-G. Ross Anderson Jr.,SC,75003,22742,73484,171228,3,7,28566
WV0003ZZ,Elizabeth Kee Federa,WV0003ZZ-Elizabeth Kee Federa,WV,77209,49150,39880,166239,2,24,37619
IL0220ZZ,Federal Building,IL0220ZZ-Federal Building,IL,72957,39745,49387,162089,3,55,32155
AL0004ZZ,Fb-Ct,AL0004ZZ-Fb-Ct,AL,42898,35334,82230,160461,3,14,19397
VA0053ZZ,Owen B Pickett Us Cu,VA0053ZZ-Owen B Pickett Us Cu,VA,78261,50537,29171,157969,3,47,18622
MI0506BC,Bldg No 2-C Fed Cntr,MI0506BC-Bldg No 2-C Fed Cntr,MI,82517,20868,43781,147167,4,105,36303
IL0200ZZ,Fed Bldg-Po-Us Cthse,IL0200ZZ-Fed Bldg-Po-Us Cthse,IL,66664,27770,51147,145581,4,30,30185
NC0092ZZ,Fb-Po-Ct,NC0092ZZ-Fb-Po-Ct,NC,41162,41393,62159,144714,3,15,31420
CA0185ZZ,Social Security Bldg,CA0185ZZ-Social Security Bldg,CA,74385,31491,38727,144603,5,35,12811
IL0206ZZ,William L. Beatty Fb,IL0206ZZ-William L. Beatty Fb,IL,69464,26942,44511,140916,3,46,29670
MI0504BC,Fed Ctr Bldg No 2a,MI0504BC-Fed Ctr Bldg No 2a,MI,80376,20326,38928,139630,5,197,35358
PA0644ZZ,Erie Library,PA0644ZZ-Erie Library,PA,42623,40249,54321,137193,2,19,28892
ME0035ZZ,Us Custom House,ME0035ZZ-Us Custom House,ME,36085,39728,60767,136581,4,7,19009
MI0538BC,Bldg 1b Federal Ctr,MI0538BC-Bldg 1b Federal Ctr,MI,73273,18530,39713,131516,4,6,32463
UT0014ZZ,J. Will Robinson Fb,UT0014ZZ-J. Will Robinson Fb,UT,30852,27338,71592,129782,5,13,28973
CO0625AA,Dfc Bldg 15,CO0625AA-Dfc Bldg 15,CO,25868,49236,54123,129227,4,14,27749
WA0094ZZ,Vancouver Federal Bl,WA0094ZZ-Vancouver Federal Bl,WA,53481,21224,53987,128691,5,48,20508
WA0028ZZ,Richard B. Anderson,WA0028ZZ-Richard B. Anderson,WA,62137,25961,39982,128080,4,7,19194
OK0039ZZ,C Albert Fed Bldg/Co,OK0039ZZ-C Albert Fed Bldg/Co,OK,39163,26809,58996,124968,5,4,22073
WV0010ZZ,Forest Service Build,WV0010ZZ-Forest Service Build,WV,62164,29512,28948,120624,4,72,30604
CO0631AA,Dfc Bldg 710,CO0631AA-Dfc Bldg 710,CO,39825,35511,43756,119092,3,60,33805
KY0043AB,Fb-Ct,KY0043AB-Fb-Ct,KY,53550,10690,51485,115725,4,3,16380
CO0654AA,Building 710a,CO0654AA-Building 710a,CO,42214,14150,54731,111095,4,55,54000
AK0514ZZ,Fed Bldg Us Po,AK0514ZZ-Fed Bldg Us Po,AK,25830,17435,66743,110007,3,25,10703
NE0018ZZ,Federal Bg,NE0018ZZ-Federal Bg,NE,41660,12279,54601,108540,5,20,27375
WA0821KF,Warehouse 5,WA0821KF-Warehouse 5,WA,12916,44375,47737,105028,4,12,172341
IL0222ZZ,Federal Building,IL0222ZZ-Federal Building,IL,59973,16527,26748,103249,4,20,18296
CA0914OO,Rock Proc Lab,CA0914OO-Rock Proc Lab,CA,26838,36500,37989,101328,1,5,11457
VT0028ZZ,Winston Prouty Fb,VT0028ZZ-Winston Prouty Fb,VT,35641,26678,37110,99428,4,28,10859
CO0626AA,Dfc Bldg 16,CO0626AA-Dfc Bldg 16,CO,36212,14138,48350,98699,5,52,33625
GA0081AC,"Juliette Gordon Low,","GA0081AC-Juliette Gordon Low,",GA,50706,1587,32658,84951,4,12,17142
TX0973YS,Usbs Ysleta Bldg B -,TX0973YS-Usbs Ysleta Bldg B -,TX,40379,15462,28580,84421,5,8,8946
OK0074ZZ,Lawton Federal Bldg/,OK0074ZZ-Lawton Federal Bldg/,OK,11750,36016,30874,78639,1,25,24439
MI0505BC,Bldg 2b Federal Cts.,MI0505BC-Bldg 2b Federal Cts.,MI,44675,10632,21665,76972,5,1,19834
CA0765KK,Federal Cntr Bldg 2c,CA0765KK-Federal Cntr Bldg 2c,CA,27661,14978,32580,75220,5,12,8439
CA0763KK,Federal Cntr Bldg 2b,CA0763KK-Federal Cntr Bldg 2b,CA,27571,14711,30054,72336,1,10,8376
ND0032ZZ,Bdr Patrol Sector Hq,ND0032ZZ-Bdr Patrol Sector Hq,ND,33192,7450,30990,71632,4,5,11105
LA0811NE,Bpsh New Orleans Bld,LA0811NE-Bpsh New Orleans Bld,LA,17901,33390,19702,70993,3,5,4206
OH0100ZZ,Donald J. Pease Fede,OH0100ZZ-Donald J. Pease Fede,OH,24815,14394,29739,68949,5,5,5934
ID0027ZZ,Social Security,ID0027ZZ-Social Security,ID,25431,13816,21177,60424,3,16,7773
MO0613AF,Fed Ctr Bg 105e,MO0613AF-Fed Ctr Bg 105e,MO,26865,9241,21067,57173,4,19,18411
AZ0632FF,Brdr Patl Sect Hq Ga,AZ0632FF-Brdr Patl Sect Hq Ga,AZ,26512,15720,13849,56081,4,4,6057
MO0547AD,"Fed Bldg, No.6","MO0547AD-Fed Bldg, No.6",MO,25586,13795,11433,50813,5,50,17902
MO0614AF,Fed Ctr Bg 105f,MO0614AF-Fed Ctr Bg 105f,MO,21473,8460,20130,50063,3,41,17230
MO0610AF,Fed Ctr Bg 104e,MO0610AF-Fed Ctr Bg 104e,MO,26716,1324,21557,49597,4,28,17650
DC0120AA,Jackson Pl Complex,DC0120AA-Jackson Pl Complex,DC,22858,4034,22133,49025,4,5,475
MO0605AF,Fed Ctr Bg 102e,MO0605AF-Fed Ctr Bg 102e,MO,20360,9597,17745,47703,2,4,13749
MO0611AF,Fed Ctr Bg 104f,MO0611AF-Fed Ctr Bg 104f,MO,19418,8123,18970,46510,4,50,16185
MI0724SB,Land Port Of Entry,MI0724SB-Land Port Of Entry,MI,17600,1268,23583,42451,2,92,49616
AK0032AA,Fed Bld-Usch-Annex,AK0032AA-Fed Bld-Usch-Annex,AK,32250,6191,2706,41147,2,150,64822
CO0518AA,Dfc Bldg 44,CO0518AA-Dfc Bldg 44,CO,10341,13438,12926,36704,3,15,9382
MO0607AF,Fed Ctr Bg 103d,MO0607AF-Fed Ctr Bg 103d,MO,7202,6933,19324,33458,2,3,13814
MO0532AD,Fed Bldg No 4,MO0532AD-Fed Bldg No 4,MO,16865,8495,6634,31994,5,52,11026
DC0126AA,Jackson Pl Complex,DC0126AA-Jackson Pl Complex,DC,12947,1107,11439,25493,5,8,390
CA0299JJ,Bs Warehouse Bldg,CA0299JJ-Bs Warehouse Bldg,CA,8620,3109,10679,22408,3,3,2173
MO0546AD,Federal Building 52,MO0546AD-Federal Building 52,MO,7697,7974,5839,21511,3,1,10348
