Building Number,Building Name,Building,State,A10 Cleaning,A30 Utilities/Fuel,A40 Mechanic Oper-Maint,Grand Total,Overall Satisfaction,Occupancy,Building Sq Ft,Zip Code,Zip
DC0030ZZ,National Building Mu,DC0030ZZ-National Building Mu,DC,620643.97,945144.89,1102681.80,2668470.66,5,120,11615,20001-0000,20001
MO0050ZZ,Charles Evans Whitta,MO0050ZZ-Charles Evans Whitta,MO,803159.88,1013584.34,847960.46,2664704.68,3,325,545146,64106-2607,64106
DC0086ZZ,Thomas P. Oneill Jr.,DC0086ZZ-Thomas P. Oneill Jr.,DC,855855.20,687406.01,1079960.12,2623221.33,2,301,47703,20024-0000,20024
LA0085ZZ,H Boggs Fed Bldg/Cou,LA0085ZZ-H Boggs Fed Bldg/Cou,LA,910803.44,708890.28,957676.12,2577369.84,5,400,597705,70130-3319,70130
OH0301ZZ,Carl B Stokes U.S. C,OH0301ZZ-Carl B Stokes U.S. C,OH,940635.60,920195.84,662300.49,2523131.93,5,275,605754,44113-1829,44113
FL0017ZZ,Bryan Simpson Unites,FL0017ZZ-Bryan Simpson Unites,FL,819063.88,864918.88,785586.12,2469568.88,4,239,401627,32202-4298,32202
FL0010ZZ,"Wilkie D. Ferguson,","FL0010ZZ-Wilkie D. Ferguson,",FL,918182.88,870656.96,656086.71,2444926.55,5,367,482139,33128-1813,33128
MD0232ZZ,Southern Md Courthse,MD0232ZZ-Southern Md Courthse,MD,753205.61,529324.14,1135290.54,2417820.29,4,170,22308,20770-1249,20770
CO0039ZZ,Byron G.Rogers Fb-Ct,CO0039ZZ-Byron G.Rogers Fb-Ct,CO,595225.55,809644.18,1009428.65,2414298.38,2,500,623294,80294-1961,80294
DC0094ZZ,Howard T. Markey Nat,DC0094ZZ-Howard T. Markey Nat,DC,571608.37,823316.69,1015632.88,2410557.94,4,315,19845,20011-3045,20011
AZ0303ZZ,Sandra D. O'Connor C,AZ0303ZZ-Sandra D. O'Connor C,AZ,802226.64,759216.88,842922.31,2404365.83,5,400,482997,85003-2117,85003
CA0091AA,Appraisers Bldg,CA0091AA-Appraisers Bldg,CA,930448.36,444001.45,1020208.37,2394658.18,4,400,435519,94111-2206,94111
TX0224ZZ,Fg Lanham Fed Bldg,TX0224ZZ-Fg Lanham Fed Bldg,TX,840354.43,706591.05,847564.77,2394510.25,3,1932,669336,76102-6124,76102
WA0102ZZ,Us District Courthou,WA0102ZZ-Us District Courthou,WA,991147.80,617936.73,751799.75,2360884.28,4,450,557077,98101-1271,98101
CA0096DD,James R. Browning U.,CA0096DD-James R. Browning U.,CA,1069375.66,425155.23,860362.38,2354893.27,3,250,312374,94103-1518,94103
MN0086TC,Bishop Henry Whipple,MN0086TC-Bishop Henry Whipple,MN,1144869.84,415009.79,778077.03,2337956.66,5,800,570172,55111-4080,55111
MD1440ZZ,Edward A Garmatz Us,MD1440ZZ-Edward A Garmatz Us,MD,749607.25,990101.69,546384.34,2286093.28,2,350,421089,21201-2605,21201
DC0033ZZ,Mary E. Switzer Buil,DC0033ZZ-Mary E. Switzer Buil,DC,676875.62,858250.44,710326.94,2245453.00,2,375,52615,20230-0001,20230
